"","municipio","codigo","latitude","longitude","regiao","bolsa_escola_numeros_de_estabelecimentos_credenciados","bolsa_escola_n_total_de_beneficiarios_entre_2016_e_2017","bolsa_escola_valor_iinvestido","alunos_da_rede_estadual_de_ensino","centros_de_educacao_integral_educa_mais_quantidade","centros_de_educacao_integral_educa_mais_alunos_matriculados","sim_eu_posso_alfabetizadores","sim_eu_posso_alunos_beneficiados","programa_brasil_alfabetizado_pba_alfabetizadores","programa_brasil_alfabetizado_pba_alunos","uniformes_escolares_alunos_beneficiados","uniformes_escolares_uniformes_distribuidos","onibus_escolares_quantidades","peate_valor_repassado","peateind_valor_repassado","farois_do_saber_quantidade","farois_do_saber_valor_investido","arca_das_letras_unidades","preuni_auloes_do_enem_alunos_beneficiados","universidade_estaudal_do_maranhao_quantidade_de_campi","universidade_estaudal_do_maranhao_alunos_beneficiados","universidade_estaudal_do_maranhao_novas_vagas","universidade_estaudal_do_maranhao_novos_professores","uemanet_graduacao_educacao_a_distância_alunos_graduados","uemanet_especializacao_educacao_a_distância_alunos_formados","uemanet_cursos_técnicos_educacao_a_distância_alunos_formados","uema_programas_darcy_ribeiro_e_ensinar_formacao_de_professores","universidade_estadual_da_regiao_tocantina_uemasul_quantidade","universidade_estadual_da_regiao_tocantina_uemasul_alunos_beneficiados","universidade_estadual_da_regiao_tocantina_uemasul_bolsas_distribuidas","universidade_estadual_da_regiao_tocantina_uemasul_cursos_ofertados","universidade_estadual_da_regiao_tocantina_uemasul_professores","universidade_estadual_da_regiao_tocantina_uemasul_investimento","fapema_qtde_de_bolsas_distribuidas","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_plena_quantidade","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_plena_alunos_beneficiados","instituto_estadual_de_educacao_ciencia_e_tecnologia_do_maranhao_iema_unidade_vocacional_alunos_beneficiados","cidadao_do_mundo_alunos_beneficiados"
"1","Açailândia",2100055,"-4.94714","-47.5004","OESTE",20,15058,1487858,4809,1,700,0,0,0,0,4809,9618,0,27400,0,0,0,0,556,0,0,0,0,57,13,98,0,1,559,15,4,27,3175738,10,0,0,322,3
"2","Afonso Cunha",2100105,"-4.13631","-43.3275","LESTE",1,1548,146568,414,0,0,45,592,0,0,414,828,1,37000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
"3","Água Doce do Maranhão",2100154,"-2.84048","-42.1189","LESTE",9,2900,278310,827,0,0,167,2370,0,0,827,1654,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
"4","Alcântara",2100204,"-2.39574","-44.4062","NORTE",3,4016,388816,699,1,259,0,0,0,0,699,1398,1,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,1
"5","Aldeias Altas",2100303,"-4.62621","-43.4689","LESTE",4,5952,573618,909,0,0,237,3297,0,0,909,1818,1,45000,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0
"6","Altamira do Maranhão",2100402,"-4.16598","-45.4706","OESTE",2,1337,134887,282,0,0,0,0,0,0,282,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Alto Alegre do Maranhão",2100436,"-4.213","-44.446","LESTE",5,5254,498046,1183,0,0,0,0,0,0,1183,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Alto Alegre do Pindaré",2100477,"-3.66689","-45.8421","OESTE",9,6729,655657,1598,0,0,0,0,4,55,1598,3196,0,37000,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Alto Parnaiba",2100501,"-9.10273","-45.9303","SUL",7,1923,185105,466,0,0,0,0,0,0,466,932,0,0,0,0,0,0,93,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Amapá do Maranhão",2100550,"-1.67524","-46.0024","OESTE",4,1415,139085,456,0,0,0,0,15,214,456,912,1,25400,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0
"11","Amarante do Maranhão",2100600,"-5.56913","-46.7473","OESTE",11,7910,403410,2266,0,0,0,0,0,0,2266,4532,1,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,0
"12","Anajatuba",2100709,"-3.26269","-44.6126","NORTE",7,4921,474071,998,0,0,0,0,0,0,998,1996,1,52000,0,0,0,0,94,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,124,2
"13","Anapurus",2100808,"-3.67577","-43.1014","LESTE",6,3770,362332,736,0,0,0,0,98,759,736,1472,0,26800,0,0,0,0,176,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Apicum-Açu",2100832,"-1.45862","-45.0864","NORTE",2,3879,373089,666,0,0,0,0,26,191,666,1332,1,45200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"15","Araguanã",2100873,"-2.94644","-45.6589","OESTE",5,2373,232297,756,0,0,0,0,0,0,756,1512,0,17348.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Araioses",2100907,"-2.89091","-41.905","LESTE",11,8424,812804,1790,0,0,0,0,31,296,1790,3580,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,67,0
"17","Arame",2100956,"-4.88347","-46.0032","CENTRO",10,7145,683589,2563,0,0,0,0,207,1892,2563,5126,1,0,0,0,0,5,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0
"18","Arari",2101004,"-3.45214","-44.7665","NORTE",9,5199,500531,1402,0,0,0,0,55,249,1402,2804,1,93200,0,0,0,0,78,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"19","Axixá",2101103,"-2.83939","-44.062","NORTE",6,2642,257608,693,0,0,0,0,0,0,693,1386,0,123200,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,302,353,0
"20","Bacabal",2101202,"-4.22447","-44.7832","CENTRO",23,17204,257608,4722,0,0,0,0,0,0,4722,9444,0,0,0,0,0,0,392,1,5036,90,10,71,38,0,24,0,0,0,0,0,0,103,0,0,0,2
"21","Bacabeira",2101251,"-2.96452","-44.3164","NORTE",5,3508,329972,746,0,0,0,0,0,0,746,1492,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,426,0,0
"22","Bacuri",2101301,"-1.6965","-45.1328","NORTE",6,2795,277371,835,0,0,0,0,14,84,835,1670,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","Bacurituba",2101350,"-2.71","-44.7329","NORTE",3,1122,111318,263,0,0,0,0,15,146,263,526,1,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Balsas",2101400,"-7.53214","-46.0372","SUL",15,12697,1213531,3937,1,1005,0,0,0,0,3937,7874,1,23000,0,0,0,0,904,1,1841,30,7,34,64,50,0,0,0,0,0,0,0,15,0,0,174,1
"25","Barão de Grajaú",2101509,"-6.74463","-43.0261","LESTE",9,3003,287059,803,0,0,0,0,13,112,803,1606,1,49800,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Barra do Corda",2101608,"-5.49682","-45.2485","CENTRO",21,15255,1466073,7126,1,823,0,0,0,0,7126,14252,0,0,0,0,0,0,701,1,833,30,0,29,0,0,0,0,0,0,0,0,0,36,0,0,137,1
